step,value
0,29.0
1,10.0
2,9.0
3,9.0
4,8.0
5,10.0
6,10.0
7,9.0
8,10.0
9,10.0
10,10.0
11,8.0
12,8.0
13,10.0
14,9.0
15,10.0
16,9.0
17,9.0
18,11.0
19,55.0
20,9.0
21,9.0
22,11.0
23,10.0
24,10.0
25,8.0
26,13.0
27,9.0
28,10.0
29,8.0
30,10.0
31,10.0
32,8.0
33,10.0
34,9.0
35,9.0
36,9.0
37,9.0
38,8.0
39,16.0
40,10.0
41,10.0
42,10.0
43,11.0
44,9.0
45,11.0
46,16.0
47,13.0
48,10.0
49,30.0
50,13.0
51,10.0
52,18.0
53,20.0
54,16.0
55,26.0
56,21.0
57,20.0
58,34.0
59,11.0
60,15.0
61,18.0
62,9.0
63,21.0
64,19.0
65,12.0
66,22.0
67,28.0
68,32.0
69,22.0
70,15.0
71,22.0
72,15.0
73,13.0
74,17.0
75,18.0
76,17.0
77,31.0
78,17.0
79,20.0
80,15.0
81,23.0
82,29.0
83,18.0
84,17.0
85,30.0
86,18.0
87,18.0
88,16.0
89,20.0
90,30.0
91,22.0
92,13.0
93,22.0
94,35.0
95,24.0
96,51.0
97,36.0
98,19.0
99,30.0
100,20.0
101,59.0
102,27.0
103,42.0
104,18.0
105,34.0
106,43.0
107,21.0
108,16.0
109,23.0
110,17.0
111,24.0
112,9.0
113,59.0
114,72.0
115,38.0
116,22.0
117,49.0
118,24.0
119,19.0
120,79.0
121,31.0
122,27.0
123,20.0
124,17.0
125,26.0
126,95.0
127,13.0
128,12.0
129,26.0
130,29.0
131,26.0
132,33.0
133,37.0
134,53.0
135,55.0
136,134.0
137,20.0
138,19.0
139,39.0
140,57.0
141,50.0
142,40.0
143,105.0
144,60.0
145,130.0
146,50.0
147,62.0
148,24.0
149,35.0
150,76.0
151,50.0
152,47.0
153,17.0
154,15.0
155,23.0
156,45.0
157,56.0
158,41.0
159,35.0
160,64.0
161,101.0
162,81.0
163,33.0
164,52.0
165,54.0
166,34.0
167,28.0
168,39.0
169,21.0
170,50.0
171,60.0
172,63.0
173,109.0
174,67.0
175,37.0
176,64.0
177,45.0
178,58.0
179,66.0
180,54.0
181,25.0
182,46.0
183,18.0
184,29.0
185,48.0
186,49.0
187,34.0
188,36.0
189,89.0
190,47.0
191,46.0
192,25.0
193,33.0
194,52.0
195,99.0
196,91.0
197,31.0
198,191.0
