step,value
0,10.0
1,10.0
2,9.0
3,9.0
4,10.0
5,14.0
6,9.0
7,10.0
8,9.0
9,11.0
10,11.0
11,9.0
12,18.0
13,9.0
14,12.0
15,9.0
16,11.0
17,11.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,11.0
24,9.0
25,27.0
26,8.0
27,24.0
28,25.0
29,37.0
30,44.0
31,48.0
32,10.0
33,29.0
34,11.0
35,13.0
36,11.0
37,11.0
38,30.0
39,31.0
40,31.0
41,31.0
42,12.0
43,31.0
44,11.0
45,28.0
46,12.0
47,11.0
48,37.0
49,11.0
50,11.0
51,11.0
52,39.0
53,11.0
54,11.0
55,31.0
56,11.0
57,11.0
58,39.0
59,32.0
60,36.0
61,9.0
62,10.0
63,10.0
64,9.0
65,10.0
66,11.0
67,11.0
68,10.0
69,11.0
70,10.0
71,9.0
72,10.0
73,11.0
74,9.0
75,9.0
76,9.0
77,8.0
78,9.0
79,9.0
80,9.0
81,45.0
82,103.0
83,33.0
84,62.0
85,62.0
86,76.0
87,73.0
88,56.0
89,46.0
90,52.0
91,8.0
92,27.0
93,162.0
94,52.0
95,47.0
96,52.0
97,59.0
98,200.0
99,200.0
100,54.0
101,200.0
102,200.0
103,43.0
104,44.0
105,45.0
106,129.0
107,51.0
108,118.0
109,101.0
110,30.0
111,69.0
112,59.0
113,113.0
114,38.0
115,200.0
116,60.0
117,70.0
118,69.0
119,63.0
120,78.0
121,39.0
122,200.0
123,200.0
124,56.0
125,50.0
126,42.0
127,54.0
128,53.0
129,51.0
130,74.0
131,150.0
132,62.0
133,46.0
134,104.0
135,8.0
136,194.0
137,76.0
138,74.0
139,76.0
140,58.0
141,91.0
142,200.0
143,59.0
144,79.0
145,87.0
146,50.0
147,105.0
148,9.0
149,8.0
150,51.0
151,62.0
152,58.0
153,48.0
154,59.0
155,85.0
156,58.0
157,56.0
158,59.0
159,53.0
160,123.0
161,60.0
162,72.0
163,67.0
164,71.0
165,64.0
166,128.0
167,56.0
168,8.0
169,64.0
170,200.0
171,8.0
172,76.0
173,56.0
174,62.0
175,59.0
176,71.0
177,200.0
178,64.0
179,81.0
180,105.0
181,64.0
182,200.0
183,27.0
184,58.0
185,82.0
186,141.0
187,79.0
188,200.0
189,74.0
190,9.0
191,78.0
192,10.0
193,13.0
194,9.0
195,25.0
196,8.0
197,50.0
198,63.0
199,60.0
200,117.0
201,71.0
202,85.0
203,26.0
204,12.0
205,83.0
206,33.0
207,41.0
208,68.0
209,81.0
210,90.0
211,86.0
212,8.0
213,73.0
214,65.0
215,71.0
216,24.0
217,36.0
218,69.0
219,67.0
220,99.0
221,118.0
222,85.0
223,90.0
224,76.0
225,35.0
226,59.0
227,69.0
228,80.0
229,25.0
230,111.0
231,165.0
232,51.0
233,85.0
234,27.0
235,87.0
236,74.0
237,177.0
238,84.0
239,16.0
240,24.0
241,65.0
242,115.0
243,35.0
244,135.0
245,40.0
246,49.0
247,79.0
248,103.0
249,86.0
250,200.0
251,136.0
252,33.0
253,29.0
254,133.0
255,70.0
256,70.0
257,78.0
258,109.0
259,49.0
260,57.0
261,18.0
262,39.0
263,189.0
264,105.0
265,200.0
266,79.0
267,93.0
268,86.0
269,101.0
270,62.0
271,97.0
272,83.0
273,84.0
274,97.0
275,119.0
276,135.0
277,139.0
278,26.0
279,36.0
280,200.0
281,200.0
282,118.0
283,71.0
284,91.0
285,186.0
286,121.0
287,97.0
288,118.0
289,118.0
290,129.0
291,123.0
292,44.0
293,60.0
294,200.0
295,148.0
296,91.0
297,42.0
298,25.0
299,97.0
300,107.0
301,53.0
302,141.0
303,55.0
304,129.0
305,53.0
306,68.0
307,35.0
308,200.0
309,129.0
310,200.0
311,144.0
312,200.0
313,85.0
314,200.0
315,150.0
316,200.0
317,114.0
318,83.0
319,78.0
320,109.0
321,60.0
322,166.0
323,200.0
324,129.0
325,65.0
326,37.0
327,105.0
328,38.0
329,39.0
330,200.0
331,122.0
332,114.0
333,154.0
334,38.0
335,200.0
336,35.0
337,28.0
338,26.0
339,91.0
340,148.0
341,130.0
342,85.0
343,41.0
344,39.0
345,50.0
346,34.0
347,54.0
348,145.0
349,186.0
350,73.0
351,67.0
352,179.0
353,84.0
354,95.0
355,180.0
356,200.0
357,44.0
358,145.0
359,200.0
360,200.0
361,200.0
362,122.0
363,61.0
364,110.0
365,126.0
366,200.0
367,106.0
368,106.0
369,60.0
370,27.0
371,26.0
372,128.0
373,122.0
374,38.0
375,181.0
376,195.0
377,200.0
378,155.0
379,124.0
380,81.0
381,200.0
382,57.0
383,173.0
384,66.0
385,49.0
386,29.0
387,68.0
388,44.0
389,50.0
390,59.0
391,192.0
392,40.0
393,41.0
394,48.0
395,38.0
396,40.0
397,43.0
398,25.0
399,29.0
400,55.0
401,70.0
402,38.0
403,200.0
404,77.0
405,61.0
406,46.0
407,50.0
408,73.0
409,118.0
410,35.0
411,39.0
412,42.0
413,38.0
414,59.0
415,39.0
416,200.0
417,38.0
418,44.0
419,45.0
420,156.0
421,15.0
422,82.0
423,66.0
424,62.0
425,44.0
426,149.0
427,37.0
428,43.0
429,55.0
430,25.0
431,50.0
432,46.0
433,55.0
434,70.0
435,38.0
436,64.0
437,200.0
438,186.0
439,43.0
440,16.0
441,28.0
442,33.0
443,56.0
444,73.0
445,52.0
446,50.0
447,200.0
448,48.0
449,40.0
450,200.0
451,200.0
452,200.0
453,35.0
454,52.0
455,200.0
456,39.0
457,67.0
458,24.0
459,28.0
460,25.0
461,34.0
462,38.0
463,63.0
464,38.0
465,36.0
466,51.0
467,46.0
468,46.0
469,51.0
470,36.0
471,77.0
472,46.0
473,38.0
474,14.0
475,54.0
476,57.0
477,49.0
478,47.0
479,46.0
480,47.0
481,39.0
482,63.0
483,60.0
484,200.0
485,61.0
486,200.0
487,200.0
488,184.0
489,42.0
