step,value
0,10.0
1,10.0
2,11.0
3,11.0
4,9.0
5,9.0
6,8.0
7,9.0
8,10.0
9,10.0
10,8.0
11,10.0
12,10.0
13,9.0
14,9.0
15,16.0
16,9.0
17,11.0
18,12.0
19,8.0
20,8.0
21,9.0
22,17.0
23,83.0
24,13.0
25,13.0
26,27.0
27,13.0
28,13.0
29,108.0
30,25.0
31,29.0
32,50.0
33,47.0
34,8.0
35,27.0
36,30.0
37,12.0
38,32.0
39,12.0
40,41.0
41,11.0
42,15.0
43,10.0
44,21.0
45,10.0
46,16.0
47,10.0
48,9.0
49,10.0
50,9.0
51,10.0
52,10.0
53,10.0
54,10.0
55,10.0
56,9.0
57,10.0
58,10.0
59,11.0
60,10.0
61,10.0
62,11.0
63,9.0
64,9.0
65,9.0
66,10.0
67,10.0
68,10.0
69,9.0
70,9.0
71,10.0
72,10.0
73,8.0
74,9.0
75,10.0
76,8.0
77,10.0
78,11.0
79,23.0
80,9.0
81,10.0
82,16.0
83,8.0
84,11.0
85,11.0
86,20.0
87,14.0
88,20.0
89,19.0
90,23.0
91,24.0
92,28.0
93,24.0
94,20.0
95,24.0
96,12.0
97,26.0
98,13.0
99,14.0
100,25.0
101,26.0
102,24.0
103,29.0
104,25.0
105,27.0
106,15.0
107,25.0
108,18.0
109,12.0
110,26.0
111,25.0
112,11.0
113,23.0
114,25.0
115,28.0
116,27.0
117,23.0
118,12.0
119,28.0
120,25.0
121,25.0
122,29.0
123,13.0
124,12.0
125,26.0
126,34.0
127,28.0
128,28.0
129,27.0
130,28.0
131,25.0
132,26.0
133,12.0
134,25.0
135,27.0
136,11.0
137,13.0
138,13.0
139,25.0
140,32.0
141,13.0
142,13.0
143,13.0
144,27.0
145,11.0
146,26.0
147,12.0
148,27.0
149,14.0
150,26.0
151,26.0
152,13.0
153,31.0
154,23.0
155,14.0
156,25.0
157,26.0
158,24.0
159,24.0
160,26.0
161,28.0
162,15.0
163,13.0
164,25.0
165,27.0
166,25.0
167,20.0
168,28.0
169,27.0
170,30.0
171,35.0
172,36.0
173,28.0
174,46.0
175,30.0
176,26.0
177,24.0
178,35.0
179,40.0
180,28.0
181,33.0
182,29.0
183,31.0
184,36.0
185,30.0
186,28.0
187,28.0
188,29.0
189,31.0
190,24.0
191,26.0
192,26.0
193,28.0
194,39.0
195,26.0
196,25.0
197,35.0
198,35.0
199,35.0
200,24.0
201,26.0
202,31.0
203,28.0
204,36.0
205,35.0
206,37.0
207,24.0
208,43.0
209,51.0
210,53.0
211,50.0
212,48.0
213,67.0
214,34.0
215,39.0
216,25.0
217,38.0
218,38.0
219,42.0
220,32.0
221,24.0
222,29.0
223,24.0
224,36.0
225,40.0
226,40.0
227,53.0
228,43.0
229,28.0
230,15.0
231,16.0
232,30.0
233,28.0
234,38.0
235,33.0
236,41.0
237,35.0
238,28.0
239,43.0
240,39.0
241,35.0
242,37.0
243,34.0
244,49.0
245,25.0
246,36.0
247,11.0
248,9.0
249,14.0
250,25.0
251,48.0
252,46.0
253,65.0
254,44.0
255,27.0
256,27.0
257,36.0
258,26.0
259,40.0
260,38.0
261,38.0
262,39.0
263,40.0
264,36.0
265,47.0
266,26.0
267,44.0
268,55.0
269,61.0
270,42.0
271,61.0
272,44.0
273,55.0
274,51.0
275,34.0
276,60.0
277,23.0
278,54.0
279,66.0
280,33.0
281,30.0
282,27.0
283,53.0
284,41.0
285,23.0
286,41.0
287,24.0
288,26.0
289,57.0
290,26.0
291,24.0
292,43.0
293,61.0
294,33.0
295,40.0
296,26.0
297,22.0
298,40.0
299,82.0
300,41.0
301,60.0
302,60.0
303,71.0
304,37.0
305,44.0
306,58.0
307,22.0
308,42.0
309,44.0
310,26.0
311,38.0
312,39.0
313,27.0
314,30.0
315,49.0
316,37.0
317,46.0
318,24.0
319,37.0
320,31.0
321,36.0
322,25.0
323,34.0
324,27.0
325,23.0
326,40.0
327,28.0
328,28.0
329,37.0
330,26.0
331,36.0
332,31.0
333,40.0
334,50.0
335,27.0
336,27.0
337,45.0
338,25.0
339,24.0
340,24.0
341,26.0
342,27.0
343,27.0
344,28.0
345,31.0
346,23.0
347,31.0
348,52.0
349,41.0
350,55.0
351,52.0
352,38.0
353,26.0
354,31.0
355,28.0
356,23.0
357,40.0
358,34.0
359,30.0
360,36.0
361,34.0
362,39.0
363,24.0
364,37.0
365,27.0
366,44.0
367,25.0
368,37.0
369,35.0
370,37.0
371,25.0
372,36.0
373,33.0
374,38.0
375,24.0
376,45.0
377,27.0
378,25.0
379,33.0
380,25.0
381,33.0
382,35.0
383,28.0
384,44.0
385,35.0
386,23.0
387,26.0
388,25.0
389,25.0
390,24.0
391,27.0
392,26.0
393,36.0
394,24.0
395,24.0
396,26.0
397,27.0
398,35.0
399,25.0
400,24.0
401,24.0
402,29.0
403,37.0
404,32.0
405,26.0
406,23.0
407,39.0
408,26.0
409,22.0
410,28.0
411,38.0
412,25.0
413,42.0
414,33.0
415,29.0
416,34.0
417,26.0
418,40.0
419,35.0
420,33.0
421,35.0
422,36.0
423,25.0
424,56.0
425,28.0
426,28.0
427,36.0
428,35.0
429,42.0
430,28.0
431,39.0
432,52.0
433,31.0
434,24.0
435,30.0
436,35.0
437,34.0
438,32.0
439,23.0
440,15.0
441,23.0
442,30.0
443,36.0
444,24.0
445,24.0
446,24.0
447,23.0
448,24.0
449,23.0
450,34.0
451,28.0
452,27.0
453,32.0
454,22.0
455,25.0
456,22.0
457,36.0
458,35.0
459,31.0
460,42.0
461,25.0
462,28.0
463,41.0
464,36.0
465,25.0
466,29.0
467,36.0
468,40.0
469,38.0
470,28.0
471,26.0
472,24.0
473,24.0
474,33.0
475,28.0
476,22.0
477,27.0
478,25.0
479,24.0
480,28.0
481,23.0
482,32.0
483,37.0
484,36.0
485,57.0
486,41.0
487,56.0
488,49.0
489,38.0
