step,value
0,25.0
1,23.0
2,9.0
3,13.0
4,11.0
5,9.0
6,9.0
7,8.0
8,9.0
9,9.0
10,24.0
11,84.0
12,10.0
13,10.0
14,8.0
15,10.0
16,10.0
17,8.0
18,9.0
19,9.0
20,9.0
21,9.0
22,10.0
23,9.0
24,10.0
25,10.0
26,10.0
27,8.0
28,9.0
29,9.0
30,10.0
31,27.0
32,77.0
33,10.0
34,8.0
35,8.0
36,9.0
37,10.0
38,10.0
39,8.0
40,9.0
41,8.0
42,10.0
43,9.0
44,9.0
45,9.0
46,9.0
47,10.0
48,10.0
49,10.0
50,10.0
51,10.0
52,8.0
53,9.0
54,9.0
55,19.0
56,45.0
57,9.0
58,10.0
59,8.0
60,27.0
61,23.0
62,10.0
63,8.0
64,19.0
65,10.0
66,9.0
67,50.0
68,9.0
69,10.0
70,9.0
71,20.0
72,10.0
73,21.0
74,10.0
75,10.0
76,8.0
77,22.0
78,9.0
79,9.0
80,9.0
81,9.0
82,9.0
83,10.0
84,10.0
85,11.0
86,9.0
87,9.0
88,17.0
89,26.0
90,8.0
91,9.0
92,9.0
93,8.0
94,9.0
95,17.0
96,9.0
97,14.0
98,9.0
99,10.0
100,41.0
101,22.0
102,9.0
103,70.0
104,8.0
105,200.0
106,47.0
107,26.0
108,47.0
109,150.0
110,44.0
111,26.0
112,30.0
113,28.0
114,27.0
115,43.0
116,70.0
117,47.0
118,43.0
119,12.0
120,10.0
121,11.0
122,26.0
123,22.0
124,28.0
125,25.0
126,29.0
127,41.0
128,53.0
129,36.0
130,34.0
131,26.0
132,24.0
133,23.0
134,26.0
135,31.0
136,40.0
137,39.0
138,34.0
139,38.0
140,38.0
141,30.0
142,35.0
143,29.0
144,36.0
145,34.0
146,22.0
147,27.0
148,12.0
149,11.0
150,28.0
151,13.0
152,28.0
153,35.0
154,47.0
155,40.0
156,27.0
157,23.0
158,26.0
159,13.0
160,30.0
161,12.0
162,33.0
163,12.0
164,33.0
165,38.0
166,38.0
167,52.0
168,53.0
169,36.0
170,35.0
171,28.0
172,29.0
173,22.0
174,36.0
175,41.0
176,33.0
177,24.0
178,24.0
179,23.0
180,28.0
181,26.0
182,28.0
183,12.0
184,21.0
185,32.0
186,12.0
187,27.0
188,39.0
189,14.0
190,29.0
191,26.0
192,25.0
193,23.0
194,21.0
195,25.0
196,25.0
197,22.0
198,25.0
199,27.0
200,12.0
201,38.0
202,29.0
203,29.0
204,28.0
205,35.0
206,48.0
207,40.0
208,44.0
209,32.0
210,27.0
211,27.0
212,36.0
213,23.0
214,38.0
215,28.0
216,29.0
217,26.0
218,27.0
219,27.0
220,29.0
221,37.0
222,12.0
223,37.0
224,32.0
225,27.0
226,22.0
227,38.0
228,21.0
229,28.0
230,24.0
231,23.0
232,36.0
233,41.0
234,51.0
235,32.0
236,39.0
237,23.0
238,24.0
239,38.0
240,37.0
241,26.0
242,34.0
243,12.0
244,23.0
245,25.0
246,25.0
247,24.0
248,26.0
249,24.0
250,34.0
251,22.0
252,24.0
253,34.0
254,28.0
255,27.0
256,25.0
257,20.0
258,12.0
259,11.0
260,19.0
261,28.0
262,40.0
263,28.0
264,20.0
265,29.0
266,21.0
267,33.0
268,23.0
269,26.0
270,25.0
271,27.0
272,35.0
273,23.0
274,27.0
275,27.0
276,27.0
277,28.0
278,24.0
279,19.0
280,26.0
281,24.0
282,25.0
283,23.0
284,27.0
285,24.0
286,24.0
287,23.0
288,25.0
289,23.0
290,33.0
291,25.0
292,20.0
293,35.0
294,28.0
295,23.0
296,41.0
297,20.0
298,24.0
299,24.0
300,35.0
301,23.0
302,28.0
303,20.0
304,21.0
305,23.0
306,23.0
307,30.0
308,24.0
309,24.0
310,21.0
311,26.0
312,35.0
313,29.0
314,24.0
315,37.0
316,25.0
317,24.0
318,27.0
319,39.0
320,24.0
321,25.0
322,24.0
323,29.0
324,29.0
325,34.0
326,31.0
327,37.0
328,22.0
329,28.0
330,30.0
331,30.0
332,36.0
333,12.0
334,29.0
335,32.0
336,27.0
337,36.0
338,28.0
339,40.0
340,40.0
341,38.0
342,37.0
343,41.0
344,24.0
345,36.0
346,41.0
347,24.0
348,37.0
349,28.0
350,28.0
351,28.0
352,34.0
353,23.0
354,25.0
355,27.0
356,40.0
357,46.0
358,32.0
359,45.0
360,22.0
361,42.0
362,26.0
363,25.0
364,12.0
365,23.0
366,28.0
367,28.0
368,12.0
369,13.0
370,26.0
371,12.0
372,46.0
373,36.0
374,21.0
375,19.0
376,20.0
377,33.0
378,38.0
379,36.0
380,28.0
381,28.0
382,25.0
383,22.0
384,23.0
385,22.0
386,24.0
387,25.0
388,25.0
389,25.0
390,26.0
391,28.0
392,52.0
393,45.0
394,38.0
395,35.0
396,39.0
397,34.0
398,31.0
399,24.0
400,21.0
401,27.0
402,22.0
403,27.0
404,22.0
405,25.0
406,21.0
407,36.0
408,36.0
409,44.0
410,44.0
411,20.0
412,24.0
413,25.0
414,27.0
415,18.0
416,19.0
417,28.0
418,23.0
419,20.0
420,24.0
421,13.0
422,23.0
423,30.0
424,36.0
425,26.0
426,23.0
427,43.0
428,28.0
429,40.0
430,46.0
431,48.0
432,40.0
433,30.0
434,25.0
435,28.0
436,34.0
437,28.0
438,25.0
439,28.0
440,45.0
441,35.0
442,44.0
443,46.0
444,39.0
445,41.0
446,25.0
447,11.0
448,37.0
449,28.0
450,21.0
451,18.0
452,26.0
453,25.0
454,44.0
455,26.0
456,44.0
457,27.0
458,39.0
459,41.0
460,27.0
461,24.0
462,30.0
463,27.0
464,30.0
465,23.0
466,31.0
467,25.0
468,26.0
469,27.0
470,34.0
471,24.0
472,39.0
473,52.0
474,45.0
475,40.0
476,38.0
477,54.0
478,39.0
479,35.0
480,35.0
481,25.0
482,26.0
483,33.0
484,29.0
485,40.0
486,37.0
487,31.0
488,55.0
489,30.0
